date,open,high,low,close,volume
2024-03-11 09:30,100.20,101.50,99.80,101.10,12500
2024-03-12 09:30,101.10,102.30,100.70,102.00,13100
2024-03-13 09:30,102.00,103.10,101.50,102.80,14000
2024-03-14 09:30,102.80,103.90,102.20,103.50,15200
2024-03-15 09:30,101.20,102.80,100.90,102.50,15000
2024-03-18 09:30,102.50,103.40,101.80,102.90,14800
2024-03-19 09:30,102.90,104.20,102.60,104.00,16700
2024-03-20 09:30,104.00,104.80,103.30,103.80,15400
2024-03-21 09:30,103.80,105.10,103.50,104.90,17200
2024-03-22 09:30,104.90,105.60,104.10,104.30,14100
